 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                     |   Total  |       Mean      |   rms   |  min |   max  |
 | *AllStreams/Phys/Ccbar2PpbarLine/Particle2VertexRelations                                    |        6 |       3         |         |      |        |
 | *AllStreams/Phys/Ccbar2PpbarLine/Particles                                                   |        2 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PpbarLine/decayVertices                                               |        2 |       1         |         |      |        |
 | *AllStreams/Phys/CharmForVubPrescaledHMuNuLine/Particle2VertexRelations                      |        5 |       5         |         |      |        |
 | *AllStreams/Phys/CharmForVubPrescaledHMuNuLine/Particles                                     |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmForVubPrescaledHMuNuLine/decayVertices                                 |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyD0/Particles                            |        5 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyD0/decayVertices                        |        5 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyDplus/Particles                         |        5 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyDplus/decayVertices                     |        5 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyDstar0D0pi0/Particles                   |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyDstar0D0pi0/decayVertices               |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopyP/Particles                             |       15 |     1.5+-0.3    | 0.9     |    1 | 4      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPm/Particle2VertexRelations          |       26 |     8.7+-1.4    | 2.4     |    7 | 12     |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPm/Particles                         |        3 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPm/decayVertices                     |        3 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPp/Particle2VertexRelations          |       36 |    12.0+-2.1    | 3.6     |    7 | 15     |
