 +------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                |   Total  |       Mean      |   rms   |  min |   max  |
 | *Charm/Phys/D02KKPiPiForDstarPromptWithD02HHMuMuControl/Particles                       |      314 |     3.2+-0.5    | 5.1     |    1 | 46     |
 | *Charm/Phys/D02KKPiPiForDstarPromptWithD02HHMuMuControl/decayVertices                   |      591 |     3.4+-0.4    | 5.3     |    1 | 54     |
 | *Charm/Phys/D02KK_EE_ConjForDstarPromptWithD02HHLL/Particles                            |       13 |     1.2+-0.1    | 0.4     |    1 | 2      |
 | *Charm/Phys/D02KK_EE_ForDstarPromptWithD02HHLL/Particles                                |       12 |     1.3+-0.2    | 0.7     |    1 | 3      |
 | *Charm/Phys/D02KK_EE_ForDstarPromptWithD02HHLL/decayVertices                            |       23 |     1.4+-0.1    | 0.6     |    1 | 3      |
 | *Charm/Phys/D02KK_EMu_ConjForDstarPromptWithD02HHLL/Particles                           |        2 |       1         |         |      |        |
 | *Charm/Phys/D02KK_EMu_ForDstarPromptWithD02HHLL/Particles                               |        9 |     1.5+-0.3    | 0.8     |    1 | 3      |
 | *Charm/Phys/D02KK_EMu_ForDstarPromptWithD02HHLL/decayVertices                           |       11 |     1.4+-0.2    | 0.7     |    1 | 3      |
 | *Charm/Phys/D02KK_MuE_ConjForDstarPromptWithD02HHLL/Particles                           |        7 |     2.3+-1.1    | 1.9     |    1 | 5      |
 | *Charm/Phys/D02KK_MuE_ForDstarPromptWithD02HHLL/Particles                               |        8 |     2.7+-0.5    | 0.9     |    2 | 4      |
 | *Charm/Phys/D02KK_MuE_ForDstarPromptWithD02HHLL/decayVertices                           |       14 |     2.8+-0.7    | 1.5     |    1 | 5      |
 | *Charm/Phys/D02KPiConjForDstarPromptWithD02HHLL/Particles                               |       17 |     1.5+-0.2    | 0.5     |    1 | 2      |
 | *Charm/Phys/D02KPiForDstarPromptWithD02HHLL/Particles                                   |       27 |     1.8+-0.3    | 1.3     |    1 | 6      |
 | *Charm/Phys/D02KPiForDstarPromptWithD02HHLL/decayVertices                               |       42 |     2.1+-0.4    | 1.7     |    1 | 8      |
 | *Charm/Phys/D02KPiSSConjForDstarPromptWithD02HHLL/Particles                             |       19 |     1.9+-0.3    | 1.0     |    1 | 4      |
 | *Charm/Phys/D02KPiSSForDstarPromptWithD02HHLL/Particles                                 |       43 |     2.7+-0.7    | 2.7     |    1 | 12     |
 | *Charm/Phys/D02KPiSSForDstarPromptWithD02HHLL/decayVertices                             |       55 |     2.6+-0.5    | 2.5     |    1 | 12     |
 | *Charm/Phys/D02KPi_EE_ConjForDstarPromptWithD02HHLL/Particles                           |       83 |     1.8+-0.2    | 1.4     |    1 | 7      |
 | *Charm/Phys/D02KPi_EE_ForDstarPromptWithD02HHLL/Particles                               |       82 |     1.9+-0.2    | 1.4     |    1 | 7      |
 | *Charm/Phys/D02KPi_EE_ForDstarPromptWithD02HHLL/decayVertices                           |      133 |     2.2+-0.3    | 2.1     |    1 | 14     |
 | *Charm/Phys/D02KPi_EMu_ConjForDstarPromptWithD02HHLL/Particles                          |       21 |     1.4+-0.3    | 1.0     |    1 | 5      |
 | *Charm/Phys/D02KPi_EMu_ForDstarPromptWithD02HHLL/Particles                              |       35 |     1.6+-0.2    | 1.1     |    1 | 6      |
 | *Charm/Phys/D02KPi_EMu_ForDstarPromptWithD02HHLL/decayVertices                          |       52 |     1.6+-0.2    | 1.2     |    1 | 6      |
 | *Charm/Phys/D02KPi_MuE_ConjForDstarPromptWithD02HHLL/Particles                          |       22 |     1.8+-0.4    | 1.3     |    1 | 6      |
 | *Charm/Phys/D02KPi_MuE_ForDstarPromptWithD02HHLL/Particles                              |       35 |     1.8+-0.3    | 1.3     |    1 | 6      |
 | *Charm/Phys/D02KPi_MuE_ForDstarPromptWithD02HHLL/decayVertices                          |       49 |     2.0+-0.3    | 1.7     |    1 | 8      |
 | *Charm/Phys/D02KpiForPromptCharm/Particle2VertexRelations                               |      539 |     3.7+-0.1    | 1.3     |    3 | 13     |
 | *Charm/Phys/D02KpiForPromptCharm/Particles                                              |      152 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/D02KpiForPromptCharm/decayVertices                                          |      152 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/D02Pi3KConjForDstarPromptWithD02HHMuMuControl/Particles                     |       65 |     1.7+-0.2    | 1.1     |    1 | 6      |
 | *Charm/Phys/D02Pi3KForDstarPromptWithD02HHMuMuControl/Particles                         |       71 |     1.9+-0.2    | 1.4     |    1 | 6      |
 | *Charm/Phys/D02Pi3KForDstarPromptWithD02HHMuMuControl/decayVertices                     |      126 |     2.5+-0.3    | 2.0     |    1 | 12     |
 | *Charm/Phys/D02PiPiConjForDstarPromptWithD02HHLL/Particles                              |       23 |     1.4+-0.2    | 1.0     |    1 | 5      |
 | *Charm/Phys/D02PiPiForDstarPromptWithD02HHLL/Particles                                  |       18 |     1.2+-0.1    | 0.4     |    1 | 2      |
 | *Charm/Phys/D02PiPiForDstarPromptWithD02HHLL/decayVertices                              |       35 |     1.4+-0.2    | 0.8     |    1 | 5      |
